Inst,n,m,UBPessoa,LB_ROOT_Pessoa,TimeRootPessoa,TimeBCPPessoa,TimeCPLEXPessoa,BestOveralllPessoa,TimePessoa,OptPessoa,UBOliveira,LBRootOliveira,TimeRootOliveira,TimeBCPOliveira,TimeCPLEXOliveira,BestOverallOliveira,TimeOliveira,OptOliveira,OptFound
1,40,2,606,606,80.900000000000006,,,Root,80.900000000000006,606,606,606,21.899999999999999,,,Root,21.899999999999999,606,1
6,40,2,3886,3886,27.699999999999999,,,Root,27.699999999999999,3886,3886,3886,6.7000000000000002,,,Root,6.7000000000000002,3886,1
11,40,2,9617,9617,22.300000000000001,,,Root,22.300000000000001,9617,9617,9617,5.0999999999999996,,,Root,5.0999999999999996,9617,1
16,40,2,38356,38356,59.100000000000001,,,Root,59.100000000000001,38356,38356,38356,32.5,,,Root,32.5,38356,1
31,40,2,3812,3812,49.200000000000003,,,Root,49.200000000000003,3812,3812,3812,5.7999999999999998,,,Root,5.7999999999999998,3812,1
36,40,2,10713,10713,65.700000000000003,,,Root,65.700000000000003,10713,10713,10713,8.0999999999999996,,,Root,8.0999999999999996,10713,1
56,40,2,1279,1279,24.300000000000001,,,Root,24.300000000000001,1279,1279,1279,5.7000000000000002,,,Root,5.7000000000000002,1279,1
61,40,2,11488,11394,705.70000000000005,2398.5,1994,MIP,2699.6999999999998,11488,11488,11488,11.1,,,Root,11.1,11488,1
66,40,2,35279,35197,220.40000000000001,307.80000000000001,1776,BCP,528.20000000000005,35279,35279,35233,556.10000000000002,248.40000000000001,180.47999999999999,MIP,736.60000000000002,35279,1
71,40,2,47952,47952,15.6,,,Root,15.6,47952,47952,47952,6.5,,,Root,6.5,47952,1
81,40,2,573,571,83.700000000000003,,,Root,83.700000000000003,571,571,571,18.5,,,Root,18.5,571,1
86,40,2,6048,6048,46.200000000000003,,,Root,46.200000000000003,6048,6048,6048,5.2000000000000002,,,Root,5.2000000000000002,6048,1
96,40,2,66116,66116,22.800000000000001,,,Root,22.800000000000001,66116,66116,66116,4.2999999999999998,,,Root,4.2999999999999998,66116,1
111,40,2,17936,17936,28.100000000000001,,,Root,28.100000000000001,17936,17936,17936,6,,,Root,6,17936,1
116,40,2,25874,25870,66.599999999999994,,,Root,66.599999999999994,25870,25870,25870,9.8000000000000007,,,Root,9.8000000000000007,25870,1
121,40,2,64516,64516,24.300000000000001,,,Root,24.300000000000001,64516,64516,64516,4.4000000000000004,,,Root,4.4000000000000004,64516,1
1,40,4,439,439,11.4,,,Root,11.4,439,439,439,3.8999999999999999,,,Root,3.8999999999999999,439,1
6,40,4,2374,2374,11.1,,,Root,11.1,2374,2374,2374,3.7000000000000002,,,Root,3.7000000000000002,2374,1
11,40,4,5737,5737,10.300000000000001,,,Root,10.300000000000001,5737,5737,5737,3.2000000000000002,,,Root,3.2000000000000002,5737,1
16,40,4,21493,21490,30.399999999999999,,,Root,30.399999999999999,21493,21493,21493,24.5,,,Root,24.5,21493,1
31,40,4,2525,2500,50.100000000000001,2932.5999999999999,12172.299999999999,BCP,2982.6999999999998,2525,2525,2507,29.699999999999999,69.599999999999994,31.449999999999999,MIP,61.200000000000003,2525,1
36,40,4,6420,6364,37.299999999999997,18799.5,2829.6999999999998,MIP,2867,6420,6420,6367,16.399999999999999,12298.1,12.140000000000001,MIP,28.5,6420,1
41,40,4,17685,17637,36.100000000000001,1856,128,MIP,164.09999999999999,17685,17685,17639,14.1,603.70000000000005,19.84,MIP,33.899999999999999,17685,1
56,40,4,826,817,54.600000000000001,>86400,878,MIP,932.60000000000002,826,826,815,29.5,>86378.9,137.12,MIP,166.59999999999999,826,1
61,40,4,7357,7322,33.799999999999997,230.19999999999999,143,MIP,176.80000000000001,7357,7357,7327,40.100000000000001,279.69999999999999,5.4100000000000001,MIP,45.5,7357,1
66,40,4,20251,20251,12.9,,,Root,12.9,20251,20251,20251,2.8999999999999999,,,Root,2.8999999999999999,20251,1
81,40,4,565,560,46.399999999999999,9.6999999999999993,0.90000000000000002,MIP,47.299999999999997,564,564,560,19.600000000000001,0.40000000000000002,0.20999999999999999,BCP,20,564,1
86,40,4,4725,4725,15.300000000000001,,,Root,15.300000000000001,4725,4725,4725,6.0999999999999996,,,Root,6.0999999999999996,4725,1
91,40,4,15569,15562,39.399999999999999,9.5999999999999996,0.69999999999999996,MIP,40.100000000000001,15569,15569,15562,17.899999999999999,0.59999999999999998,0.12,BCP,18.5,15569,1
111,40,4,11263,11219,72,303.89999999999998,105.3,MIP,177.30000000000001,11263,11263,11222,17.300000000000001,148.80000000000001,6.2199999999999998,MIP,23.5,11263,1
116,40,4,15566,15545,31.300000000000001,101.40000000000001,40.399999999999999,MIP,71.700000000000003,15566,15566,15547,19.199999999999999,52.299999999999997,4.29,MIP,23.5,15566,1
121,40,4,35751,35741,52,42.600000000000001,4.7000000000000002,MIP,56.700000000000003,35751,35751,35741,15.6,32.700000000000003,1.3799999999999999,MIP,17,35751,1
