NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_006,40,4,34.82430501100316,34.731644,0.4383630000000025,0.36258399999999824,0.2857869999999991,34.252147,0.038687000000003025,0.15855499999997846,0.017104999999986603,0,2374,2374,0.0008431703200492537,2374,2372,243,186,1,21/06/12,15000,1,0.8,4,15247,2713,20,0.2,false,0,0,0,0,0,110,0,0
wt040_011,40,4,45.79356355499476,45.686063,0.6570329999999984,0.5966689999999986,0.47613800000000595,44.977371000000005,0.049092999999999165,0.2894870000000438,0.08258199999998794,0,5737,5737,0.000348735832545992,5737,5735,248,193,1,21/06/12,15000,1,0.8,4,15629,2015,20,0.2,false,0,0,0,0,0,110,0,0
wt040_001,40,4,45.88897019800061,45.805834,0.4255640000000014,0.3585220000000007,0.3221850000000046,45.308479,0.07176399999999461,0.1736309999999861,0.027418000000004383,0,439,439,0.002283105017618482,439,438,173,148,1,21/06/12,15000,1,0.8,4,14910,5494,20,0.2,false,0,0,0,0,0,110,0,0
wt040_026,40,4,28.042498950002482,27.999318,0.22591699999999904,0.22165899999999894,0.22166199999999847,27.729515999999997,0.04192000000000107,0.12338199999999233,0.008435999999999666,0,88,88,0,88,88,138,138,0,21/06/12,15000,1,0.8,4,16423,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_016,40,4,40.41204283299885,40.257152,3.1548369999999935,2.108294999999984,0.7184990000000013,37.039584999999995,0.06269999999999953,0.5791400000000024,0.13805200000001605,0,21493,21493,0.00041891640288498804,21493,21484,1132,280,6,21/06/12,15000,1,0.8,4,17032,1428,20,0.2,false,0,0,0,0,0,110,0,0
wt040_021,40,4,33.27980079999543,33.220150000000004,0.8446509999999989,0.8372869999999963,0.837290000000003,32.322027999999996,0.05211599999999805,0.27021699999996684,0.009110999999997205,0,22793,22793,0,22793,22793,329,329,0,21/06/12,15000,1,0.8,4,13379,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_041,40,4,46.90930672000104,46.768659,2.7998799999999946,1.8967029999999951,0.5952559999999991,43.895227,0.07094600000000639,0.5525550000000123,0.14133199999999846,0,17685,17685,0.0029490160492854863,17685,17633,814,201,2,21/06/12,15000,1,0.8,4,18174,3864,20,0.2,false,0,0,0,0,0,110,0,0
wt040_036,40,4,51.26227662900055,50.996787999999995,7.130719000000006,4.233882999999963,0.4219919999999959,43.816074,0.047206000000002746,1.0716479999999962,0.3805110000000198,0,6420,6420,0.010228166796187542,6420,6355,2745,205,4,21/06/12,15000,1,0.8,4,18607,3912,20,0.2,false,0,0,0,0,0,110,0,0
wt040_051,40,4,0.12524037800176302,0.12122,0.028383000000000005,0.022109000000000004,0.02211400000000001,0.015676000000000002,0.07447599999999999,0.021054000000000003,0.015231999999999996,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,18529,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_031,40,4,55.4068187840021,55.238494,2.718816000000004,1.688440000000007,0.5030179999999973,52.441551000000004,0.07679900000000117,0.6660700000000332,0.14823200000000014,0,2525,2525,0.01161858973893486,2525,2496,578,204,3,21/06/12,15000,1,0.8,4,18383,18383,20,0.2,false,0,0,0,0,0,110,0,0
wt040_046,40,4,22.486972421997052,22.388557,0.8611600000000017,0.8575870000000023,0.8575899999999983,21.488798,0.03601199999999949,0.23593699999998918,0.005917000000000172,0,19124,19124,0,19124,19124,362,362,0,21/06/12,15000,1,0.8,4,13050,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_066,40,4,30.895766466004716,30.817821,0.7542110000000015,0.7188319999999955,0.6597160000000031,30.007525,0.05429900000000032,0.31606799999999424,0.02127900000000338,0,20251,20251,0.00019756013235553118,20251,20247,368,287,1,21/06/12,15000,1,0.8,4,19270,772,20,0.2,false,0,0,0,0,0,110,0,0
wt040_056,40,4,53.799282970001514,53.621613,3.7689689999999985,2.1917939999999945,0.4402690000000007,49.794746,0.05786899999999662,0.9072950000000546,0.3667779999999823,0,826,826,0.03508771925427604,826,798,790,201,5,21/06/12,15000,1,0.8,4,17262,7759,20,0.2,false,0,0,0,0,0,110,0,0
wt040_076,40,4,0.0954226670000935,0.090625,0.022350999999999996,0.017816,0.017818,0.000962000000000001,0.06551699999999999,0.017705,0.014279,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,17050,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_061,40,4,75.68445990899636,75.39604,14.45702200000001,8.919564000000008,1.1354559999999978,60.87969,0.059297999999998297,2.0638169999998297,0.96707600000002,0,7357,7357,0.005741626793473462,7357,7315,4688,241,12,21/06/12,15000,1,0.8,4,18932,3055,20,0.2,false,0,0,0,0,0,110,0,0
wt040_071,40,4,26.34367587700399,26.272585000000003,0.9589219999999976,0.9506280000000018,0.9506300000000003,25.250128,0.06175400000000053,0.32258600000000115,0.011455000000001547,0,26740,26740,0,26740,26740,324,324,0,21/06/12,15000,1,0.8,4,16927,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_086,40,4,47.960011356000905,47.862680000000005,1.327811000000004,1.2054950000000204,1.1021259999999984,46.477486999999996,0.05467600000000061,0.278350000000124,0.024588000000001387,0,4725,4725,0.001271455816640929,4725,4719,391,268,4,21/06/12,15000,1,0.8,4,18851,675,20,0.2,false,0,0,0,0,0,110,0,0
wt040_081,40,4,77.83341324899811,77.682282,3.367001000000002,2.218886000000026,0.6625970000000052,74.25613299999999,0.059119999999992956,0.5311269999999126,0.16606900000000735,0,564,564,0.044444444362139915,564,540,935,195,3,21/06/12,15000,1,0.8,4,18484,3112,20,0.2,false,0,0,0,0,0,110,0,0
wt040_101,40,4,0.10417240300012054,0.09306099999999999,0.023214,0.018522999999999998,0.018525,0.0008800000000000006,0.067316,0.01775299999999999,0.013343999999999995,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,19349,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_106,40,4,0.1195682269972167,0.09866899999999999,0.026511999999999994,0.021744,0.021747000000000002,0.00037500000000000033,0.07175,0.021618,0.015168000000000001,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,21400,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_091,40,4,59.39149475299928,59.284318,1.6167110000000022,1.259730999999988,0.482641000000001,57.610583,0.055222999999998024,0.39777799999992425,0.09230900000005704,0,15569,15569,0.0007713569453769134,15569,15557,1044,210,3,21/06/12,15000,1,0.8,4,19342,1040,20,0.2,false,0,0,0,0,0,110,0,0
wt040_096,40,4,34.86404714800301,34.762966,0.8091689999999971,0.8012999999999977,0.8013030000000043,33.896013,0.05572000000000088,0.297069000000036,0.012149999999998329,0,36266,36266,0,36266,36266,270,270,0,21/06/12,15000,1,0.8,4,18399,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_111,40,4,60.785679048996826,60.558063,4.910964,3.1017619999999937,0.6184239999999974,55.575955,0.06837600000000066,0.8571290000000644,0.26220300000002794,0,11263,11263,0.004548697823354557,11263,11212,2000,214,7,21/06/12,15000,1,0.8,4,22102,3216,20,0.2,false,0,0,0,0,0,110,0,0
wt040_116,40,4,58.79101792300207,58.565325,11.662343,7.22776999999995,1.4477589999999978,46.843422000000004,0.057631000000000654,1.5081799999999461,0.5276799999999682,0,15566,15566,0.0017375635496661584,15566,15539,3401,288,6,21/06/12,15000,1,0.8,4,19551,2282,20,0.2,false,0,0,0,0,0,110,0,0
wt040_121,40,4,43.36768196900084,43.232167000000004,3.7683999999999997,2.7288670000000224,0.9016909999999996,39.406527,0.05457499999999982,0.5423349999998806,0.11861599999999584,0,35751,35751,0.0003357676487776444,35751,35739,1991,245,5,21/06/12,15000,1,0.8,4,19852,1823,20,0.2,false,0,0,0,0,0,110,0,0
wt050_001,50,4,60.1042032309997,59.907483,4.591054,2.5182140000000004,0.6463639999999984,55.212773999999996,0.10179800000000228,1.1676450000000713,0.474632999999983,0,785,785,0.010296010282759317,785,777,619,202,4,21/06/12,15000,1,0.8,4,24669,12854,20,0.2,false,0,0,0,0,0,110,0,0
wt050_011,50,4,70.87783450700226,70.701462,3.4071009999999973,2.690595000000002,1.1449449999999928,67.196381,0.0955770000000058,0.8285350000000165,0.25874299999993866,0,12879,12879,0.000621552326888233,12879,12871,842,311,3,21/06/12,15000,1,0.8,4,24599,3647,20,0.2,false,0,0,0,0,0,110,0,0
wt050_006,50,4,82.82590368800447,82.625655,4.696860999999998,3.153365000000022,0.9204720000000037,77.857512,0.06774799999999459,1.167132000000052,0.3581800000000186,0,8317,8317,0.00228970836318514,8317,8298,1179,322,2,21/06/12,15000,1,0.8,4,26973,7072,20,0.2,false,0,0,0,0,0,110,0,0
wt050_026,50,4,40.426741723000305,40.347581,0.4430230000000037,0.4387620000000041,0.43876399999999904,39.832390000000004,0.06940199999999663,0.24568399999999002,0.012737999999998806,0,54,54,0,54,54,199,199,0,21/06/12,15000,1,0.8,4,23982,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_016,50,4,79.61655327400513,79.417132,2.287534999999991,1.996288000000007,1.3742079999999959,77.053783,0.07570200000000682,0.5410019999999918,0.06015299999998547,0,25376,25376,3.940886699352083e-05,25376,25375,787,342,2,21/06/12,15000,1,0.8,4,23723,1118,20,0.2,false,0,0,0,0,0,110,0,0
wt050_021,50,4,59.01521144599974,58.909855,1.7157389999999992,1.7104560000000006,1.7104579999999956,57.106834000000006,0.08387000000000455,0.6854000000000013,0.013643000000001848,0,59440,59440,0,59440,59440,531,531,0,21/06/12,15000,1,0.8,4,26292,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_041,50,4,61.49282457600202,61.294686,11.235444999999999,7.727960999999993,1.7263400000000004,49.965717000000005,0.09099400000000202,1.7697820000002054,0.5109350000000248,0,21806,21806,0.0010558692557932393,21806,21783,3746,372,7,21/06/12,15000,1,0.8,4,29661,3570,20,0.2,false,0,0,0,0,0,110,0,0
wt050_031,50,4,84.67644407299667,84.491381,0.9510709999999989,0.9394279999999924,0.9394300000000015,83.432283,0.10545300000001134,0.3919130000001161,0.01987200000000655,0,3061,3061,0,3061,3061,248,248,0,21/06/12,15000,1,0.8,4,26835,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_051,50,4,0.14878822199534625,0.135164,0.03127200000000001,0.025143,0.025145,0.0010159999999999995,0.099304,0.025005000000000013,0.019006999999999996,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,25194,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_046,50,4,37.49339987500571,37.397940999999996,2.1465239999999994,1.9344680000000167,1.5650230000000036,35.173487,0.07549100000000664,0.592992000000045,0.032482999999992046,0,44455,44455,6.748852694890019e-05,44455,44452,709,407,4,21/06/12,15000,1,0.8,4,26540,1465,20,0.2,false,0,0,0,0,0,110,0,0
wt050_036,50,4,115.44349412799784,115.211718,3.044189000000003,2.518008000000009,1.7848030000000108,112.06264999999999,0.104424999999992,0.823661999999814,0.1795479999999401,0,10796,10796,0.00018528812301414784,10796,10794,776,344,5,21/06/12,15000,1,0.8,4,28996,1947,20,0.2,false,0,0,0,0,0,110,0,0
wt050_056,50,4,72.28969357599999,72.075483,5.800017999999994,3.4539959999999468,0.6279830000000004,66.18084999999999,0.09103500000000508,1.4598919999997264,0.6030429999999143,0,570,570,0.059479553792788936,570,538,879,198,4,21/06/12,15000,1,0.8,4,26349,11812,20,0.2,false,0,0,0,0,0,110,0,0
wt050_066,50,4,67.72199998799624,67.590465,1.5911250000000052,1.581198999999998,1.581200999999993,65.92049899999999,0.07542999999999722,0.4021760000002388,0.01280900000000429,0,23138,23138,0,23138,23138,335,335,0,21/06/12,15000,1,0.8,4,23722,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_076,50,4,0.1274771519965725,0.110145,0.025630999999999987,0.021082000000000004,0.02108399999999999,0.0009560000000000003,0.081111,0.020944000000000004,0.015463000000000005,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,30362,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_071,50,4,75.15082329600409,74.940852,7.60099799999999,5.748544999999993,1.5604450000000014,67.21503200000001,0.12125199999999836,1.0219759999997962,0.17255899999999258,0,42645,42645,0.0004692082111326872,42645,42625,1820,289,3,21/06/12,15000,1,0.8,4,25627,3504,20,0.2,false,0,0,0,0,0,110,0,0
wt050_081,50,4,81.11955218500225,80.862538,3.319952999999998,2.1320189999999855,1.3614340000000027,77.42322800000001,0.11933299999999747,0.7880570000000944,0.15622099999998795,0,495,495,0.035564853482081896,495,478,350,236,2,21/06/12,15000,1,0.8,4,31663,31663,20,0.2,false,0,0,0,0,0,110,0,0
wt050_091,50,4,86.89088731000083,86.662445,1.9008800000000008,1.6378660000000025,1.1241290000000106,84.622872,0.1351579999999899,0.6089860000002147,0.07489599999999541,0,26551,26551,0.0001883522941238472,26551,26546,520,247,2,21/06/12,15000,1,0.8,4,31733,1433,20,0.2,false,0,0,0,0,0,110,0,0
wt050_086,50,4,133.31133099800354,132.627247,40.162682000000004,25.355288000000115,0.6547920000000005,92.36632300000001,0.0946090000000055,5.040067000000249,2.0489660000001066,0,8369,8369,0.004923150815931418,8369,8328,13130,195,31,21/06/12,15000,1,0.8,4,29955,3469,20,0.2,false,0,0,0,0,0,110,0,0
wt050_101,50,4,0.11583150699880207,0.095492,0.024403000000000008,0.018819000000000002,0.018820000000000003,0.0009309999999999995,0.067728,0.018686000000000008,0.013816999999999996,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,27013,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_106,50,4,0.1315583159957896,0.108274,0.028307,0.02617499999999999,0.026176999999999992,0.0012570000000000012,0.07606,0.025988999999999998,0.018408999999999995,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,31395,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_061,50,4,349.70771159899596,347.72745100000003,249.27199000000002,138.70358099999999,1.3813840000000113,98.33515,0.11777200000000221,34.64424000000379,16.91637699999987,0,7898,7898,0.0061146496807497255,7898,7850,40751,284,82,21/06/12,15000,1,0.8,4,32396,6360,20,0.2,false,0,0,0,0,0,110,0,0
wt050_096,50,4,113.92727680100506,113.346468,39.74969299999999,24.737860999999995,1.9708590000000044,73.462473,0.1342729999999932,3.8893810000004407,1.246346000000159,0,50326,50326,0.00027826363491258025,50326,50312,11265,328,33,21/06/12,15000,1,0.8,4,29286,2620,20,0.2,false,0,0,0,0,0,110,0,0
wt050_111,50,4,137.8476961760025,137.198071,47.064222000000015,29.23612299999985,1.9786390000000011,90.033333,0.09985799999999756,7.094093999999998,3.4998399999999776,0,10069,10069,0.002189708370439961,10069,10047,11766,333,26,21/06/12,15000,1,0.8,4,32995,2283,20,0.2,false,0,0,0,0,0,110,0,0
wt040_001,40,2,28.54974186199979,28.45701,1.9129919999999991,1.4373840000000015,0.7788109999999975,26.44205,0.09974400000000117,0.6406689999999351,0.11689500000000308,0,606,606,0.037671232812206794,606,584,427,236,2,21/06/12,15000,1,0.8,4,25468,14564,20,0.2,false,0,0,0,0,0,110,0,0
wt040_006,40,2,36.06026315800409,35.949014,1.7152809999999974,1.4090960000000052,0.7520150000000001,34.122026000000005,0.10860800000000381,0.8605220000000529,0.4118879999999976,0,3886,3886,0.0028387096766867848,3886,3875,369,218,2,21/06/12,15000,1,0.8,4,27343,7481,20,0.2,false,0,0,0,0,0,110,0,0
wt040_011,40,2,36.3204221240012,36.184373,3.456255000000006,2.700907000000008,1.3200450000000004,32.62744,0.0979770000000002,1.2248510000000223,0.5304440000000099,0,9617,9617,0.0026063386152412075,9617,9592,815,328,1,21/06/12,15000,1,0.8,4,26561,5951,20,0.2,false,0,0,0,0,0,110,0,0
wt050_116,50,4,195.83282533199963,195.193709,32.66677800000002,20.614497999999998,1.0665240000000153,162.442742,0.08415999999999713,4.814569999999492,1.7537409999999056,0,11552,11552,0.0028648320164194087,11552,11519,10219,238,9,21/06/12,15000,1,0.8,4,26568,3995,20,0.2,false,0,0,0,0,0,110,0,0
wt040_021,40,2,17.965490061003948,17.846163999999998,1.1437190000000008,1.1394590000000022,1.1394609999999972,16.648106,0.05254199999999898,0.4918820000000075,0.011575999999998032,0,41048,41048,0,41048,41048,431,431,0,21/06/12,15000,1,0.8,4,20451,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_026,40,2,15.885882610993576,15.818735,0.3924570000000003,0.3877480000000002,0.3877499999999987,15.345903999999999,0.07827699999999993,0.27543699999999305,0.05117300000000036,0,87,87,0,87,87,141,141,0,21/06/12,15000,1,0.8,4,29758,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_031,40,2,31.332371097996656,31.205812,5.088751000000002,3.428573999999987,0.7336770000000001,26.017719000000003,0.09731999999999985,1.552304000000106,0.430771,0,3812,3812,0.014369345392663825,3812,3758,1302,257,3,21/06/12,15000,1,0.8,4,34158,10625,20,0.2,false,0,0,0,0,0,110,0,0
wt040_016,40,2,151.73700017599913,150.69875199999998,114.396549,70.51164900000015,1.4623340000000056,36.185903999999994,0.11369900000000399,17.73252799999854,7.052323999999729,0,38356,38356,0.0020639026046434176,38356,38277,27508,383,22,21/06/12,15000,1,0.8,4,28623,5583,20,0.2,false,0,0,0,0,0,110,0,0
wt040_036,40,2,60.2001605789992,59.849863000000006,25.208876000000004,16.631824999999985,1.1055959999999985,34.550423,0.08787500000000392,4.982830999999663,1.7813769999999423,0,10713,10713,0.0049718574104153975,10713,10660,8663,376,11,21/06/12,15000,1,0.8,4,31597,5520,20,0.2,false,0,0,0,0,0,110,0,0
wt040_041,40,2,43.271379797995905,43.107946000000005,1.651475000000005,1.5540169999999947,1.5006819999999976,41.346667,0.10712099999999936,0.6849750000000157,0.03606099999999657,0,30802,30802,0.0001298785635388701,30802,30798,386,357,1,21/06/12,15000,1,0.8,4,30865,1878,20,0.2,false,0,0,0,0,0,110,0,0
wt040_051,40,2,0.19024049400468357,0.185432,0.039367999999999986,0.03227000000000002,0.03227200000000002,0.0007150000000000004,0.142781,0.032160999999999995,0.023956000000000005,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,34810,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_046,40,2,21.906309653997596,21.799795,1.7920659999999984,1.786798000000001,1.7868010000000005,19.935963,0.06995199999999713,0.5426509999999674,0.01207199999999986,0,34146,34146,0,34146,34146,508,508,0,21/06/12,15000,1,0.8,4,17388,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_061,40,2,163.24070439900242,161.952281,110.985884,69.86015699999948,1.7206100000000006,50.831686999999995,0.1318910000000031,21.053939999999955,7.272925999999863,0,11488,11488,0.016457264199570228,11488,11302,23653,346,20,21/06/12,15000,1,0.8,4,34784,10341,20,0.2,false,0,0,0,0,0,110,0,0
wt040_066,40,2,235.09309389499685,233.052773,192.503561,119.67681200000044,1.8306969999999936,40.400639,0.14578600000000108,35.11544500000211,12.842728000000015,0,35279,35279,0.004241389125982311,35279,35130,40013,372,44,21/06/12,15000,1,0.8,4,34477,8555,20,0.2,false,0,0,0,0,0,110,0,0
wt040_071,40,2,44.393279734002135,44.134219,10.376224999999998,7.6638280000000165,1.8280960000000022,33.64224,0.11302500000000038,1.8039400000000825,0.3147029999999944,0,47952,47952,0.00035464691769365503,47952,47935,3296,465,2,21/06/12,15000,1,0.8,4,25074,2560,20,0.2,false,0,0,0,0,0,110,0,0
wt040_076,40,2,0.1703886430041166,0.132315,0.036107,0.030291999999999986,0.03029499999999999,6.600000000000009e-05,0.096117,0.030169,0.022522000000000014,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,31206,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_081,40,2,63.55962202800583,63.081121,12.227768000000005,8.034367999999972,1.2333220000000011,50.734741,0.11826400000000348,3.146120000000053,1.0286160000000208,0,571,571,0.26607538743663994,571,451,2183,298,7,21/06/12,15000,1,0.8,4,33177,12593,20,0.2,false,0,0,0,0,0,110,0,0
wt040_086,40,2,67.78329691300314,67.381767,16.023676000000002,11.909999999999997,2.1265049999999945,51.228913,0.12656599999999685,3.3561940000004142,1.0140640000000332,0,6048,6048,0.008672448297419538,6048,5996,4179,367,4,21/06/12,15000,1,0.8,4,35968,4419,20,0.2,false,0,0,0,0,0,110,0,0
wt040_091,40,2,46.68408936299966,46.506351,2.293077000000004,2.2843520000000055,2.284354999999998,44.051765,0.1585539999999952,1.0873009999999752,0.037903999999997495,0,26075,26075,0,26075,26075,465,465,0,21/06/12,15000,1,0.8,4,35659,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_096,40,2,35.175450353002816,35.002886000000004,3.148495000000004,2.775071999999998,2.222521999999998,31.736646999999998,0.11504099999999795,1.0877780000000747,0.07778399999999408,0,66116,66116,9.075782786128033e-05,66116,66110,838,512,4,21/06/12,15000,1,0.8,4,31251,1532,20,0.2,false,0,0,0,0,0,110,0,0
wt040_101,40,2,0.2014902320006513,0.17399,0.04544899999999999,0.037543999999999994,0.037545999999999996,0.000681000000000001,0.125405,0.036784999999999984,0.026906000000000013,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,37197,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_106,40,2,0.21419004000199493,0.186179,0.04541300000000001,0.038006999999999985,0.03800999999999999,0.0006720000000000007,0.137536,0.037883,0.027887999999999996,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,41040,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_111,40,2,50.94835207599681,50.692587,12.505462000000001,8.902365999999986,1.8118930000000049,38.061979,0.12204100000000295,2.7052430000000385,0.6844319999999655,0,17936,17936,0.0021791361679511013,17936,17897,4797,377,7,21/06/12,15000,1,0.8,4,42861,3389,20,0.2,false,0,0,0,0,0,110,0,0
wt040_116,40,2,73.13444453800184,72.59060799999999,37.86904800000001,25.160240999999928,1.4180370000000053,34.629278,0.09071700000000504,6.91316600000043,1.9494810000000626,0,25870,25870,0.004114267970652295,25870,25764,13295,357,11,21/06/12,15000,1,0.8,4,34489,6119,20,0.2,false,0,0,0,0,0,110,0,0
wt040_121,40,2,26.021754262001195,25.897214,2.1697740000000003,1.9979690000000012,1.5462589999999992,23.624426,0.10098899999999844,0.9111909999999774,0.03370800000000074,0,64516,64516,0.00013951974204133629,64516,64507,799,440,2,21/06/12,15000,1,0.8,4,34422,1880,20,0.2,false,0,0,0,0,0,110,0,0
wt050_001,50,2,42.37324130599882,42.085825,8.488307999999996,5.017716999999976,1.1702479999999937,33.399094999999996,0.19508400000000137,2.9116010000000045,0.8213659999999905,0,1268,1268,0.029220779197061054,1268,1232,935,232,3,21/06/12,15000,1,0.8,4,43076,27198,20,0.2,false,0,0,0,0,0,110,0,0
wt050_006,50,2,76.68552346100478,76.33699299999999,12.964547999999994,8.829693000000013,2.4925020000000018,63.174777999999996,0.19749900000000054,4.292952999999386,1.4583489999999273,0,14272,14272,0.0007713344084726643,14272,14261,1697,438,3,21/06/12,15000,1,0.8,4,47825,14281,20,0.2,false,0,0,0,0,0,110,0,0
